"","ds","y"
"1",2012-08-25,76
"2",2012-08-26,88
"3",2012-08-27,62
"4",2012-08-28,58
"5",2012-08-29,60
"6",2012-08-30,74
"7",2012-08-31,78
"8",2012-09-01,112
"9",2012-09-02,118
"10",2012-09-03,108
"11",2012-09-04,66
"12",2012-09-05,104
"13",2012-09-06,100
"14",2012-09-07,68
"15",2012-09-08,100
"16",2012-09-09,68
"17",2012-09-10,64
"18",2012-09-11,58
"19",2012-09-12,84
"20",2012-09-13,72
"21",2012-09-14,84
"22",2012-09-15,92
"23",2012-09-16,70
"24",2012-09-17,92
"25",2012-09-18,188
"26",2012-09-19,158
"27",2012-09-20,84
"28",2012-09-21,90
"29",2012-09-22,78
"30",2012-09-23,102
"31",2012-09-24,162
"32",2012-09-25,160
"33",2012-09-26,118
"34",2012-09-27,104
"35",2012-09-28,78
"36",2012-09-29,62
"37",2012-09-30,356
"38",2012-10-01,248
"39",2012-10-02,166
"40",2012-10-03,116
"41",2012-10-04,160
"42",2012-10-05,134
"43",2012-10-06,118
"44",2012-10-07,168
"45",2012-10-08,414
"46",2012-10-09,140
"47",2012-10-10,342
"48",2012-10-11,172
"49",2012-10-12,178
"50",2012-10-13,164
"51",2012-10-14,330
"52",2012-10-15,322
"53",2012-10-16,346
"54",2012-10-17,140
"55",2012-10-18,292
"56",2012-10-19,560
"57",2012-10-20,416
"58",2012-10-21,368
"59",2012-10-22,382
"60",2012-10-23,256
"61",2012-10-24,230
"62",2012-10-25,262
"63",2012-10-26,232
"64",2012-10-27,140
"65",2012-10-28,256
"66",2012-10-29,342
"67",2012-10-30,358
"68",2012-10-31,422
"69",2012-11-01,304
"70",2012-11-02,1112
"71",2012-11-03,584
"72",2012-11-04,450
"73",2012-11-05,678
"74",2012-11-06,474
"75",2012-11-07,334
"76",2012-11-08,280
"77",2012-11-09,348
"78",2012-11-10,412
"79",2012-11-11,758
"80",2012-11-12,620
"81",2012-11-13,366
"82",2012-11-14,304
"83",2012-11-15,356
"84",2012-11-16,504
"85",2012-11-17,280
"86",2012-11-18,280
"87",2012-11-19,316
"88",2012-11-20,318
"89",2012-11-21,374
"90",2012-11-22,344
"91",2012-11-23,256
"92",2012-11-24,136
"93",2012-11-25,172
"94",2012-11-26,146
"95",2012-11-27,358
"96",2012-11-28,190
"97",2012-11-29,166
"98",2012-11-30,176
"99",2012-12-01,210
"100",2012-12-02,284
"101",2012-12-03,402
"102",2012-12-04,356
"103",2012-12-05,244
"104",2012-12-06,204
"105",2012-12-07,488
"106",2012-12-08,254
"107",2012-12-09,210
"108",2012-12-10,478
"109",2012-12-11,596
"110",2012-12-12,332
"111",2012-12-13,396
"112",2012-12-14,422
"113",2012-12-15,238
"114",2012-12-16,632
"115",2012-12-17,526
"116",2012-12-18,376
"117",2012-12-19,350
"118",2012-12-20,512
"119",2012-12-21,494
"120",2012-12-22,242
"121",2012-12-23,418
"122",2012-12-24,580
"123",2012-12-25,376
"124",2012-12-26,254
"125",2012-12-27,290
"126",2012-12-28,256
"127",2012-12-29,304
"128",2012-12-30,324
"129",2012-12-31,618
"130",2013-01-01,402
"131",2013-01-02,292
"132",2013-01-03,278
"133",2013-01-04,564
"134",2013-01-05,352
"135",2013-01-06,178
"136",2013-01-07,488
"137",2013-01-08,362
"138",2013-01-09,238
"139",2013-01-10,220
"140",2013-01-11,344
"141",2013-01-12,222
"142",2013-01-13,174
"143",2013-01-14,262
"144",2013-01-15,662
"145",2013-01-16,626
"146",2013-01-17,892
"147",2013-01-18,742
"148",2013-01-19,444
"149",2013-01-20,410
"150",2013-01-21,832
"151",2013-01-22,718
"152",2013-01-23,508
"153",2013-01-24,504
"154",2013-01-25,470
"155",2013-01-26,314
"156",2013-01-27,308
"157",2013-01-28,442
"158",2013-01-29,342
"159",2013-01-30,508
"160",2013-01-31,614
"161",2013-02-01,464
"162",2013-02-02,208
"163",2013-02-03,208
"164",2013-02-04,392
"165",2013-02-05,426
"166",2013-02-06,538
"167",2013-02-07,380
"168",2013-02-08,424
"169",2013-02-09,438
"170",2013-02-10,338
"171",2013-02-11,562
"172",2013-02-12,490
"173",2013-02-13,416
"174",2013-02-14,494
"175",2013-02-15,688
"176",2013-02-16,326
"177",2013-02-17,252
"178",2013-02-18,876
"179",2013-02-19,670
"180",2013-02-20,476
"181",2013-02-21,420
"182",2013-02-22,1122
"183",2013-02-23,970
"184",2013-02-24,574
"185",2013-02-25,856
"186",2013-02-26,788
"187",2013-02-27,652
"188",2013-02-28,464
"189",2013-03-01,748
"190",2013-03-02,730
"191",2013-03-03,372
"192",2013-03-04,784
"193",2013-03-05,762
"194",2013-03-06,546
"195",2013-03-07,582
"196",2013-03-08,906
"197",2013-03-09,400
"198",2013-03-10,390
"199",2013-03-11,526
"200",2013-03-12,530
"201",2013-03-13,510
"202",2013-03-14,534
"203",2013-03-15,536
"204",2013-03-16,346
"205",2013-03-17,360
"206",2013-03-18,590
"207",2013-03-19,374
"208",2013-03-20,292
"209",2013-03-21,722
"210",2013-03-22,1112
"211",2013-03-23,456
"212",2013-03-24,556
"213",2013-03-25,760
"214",2013-03-26,642
"215",2013-03-27,382
"216",2013-03-28,596
"217",2013-03-29,714
"218",2013-03-30,420
"219",2013-03-31,372
"220",2013-04-01,602
"221",2013-04-02,968
"222",2013-04-03,794
"223",2013-04-04,854
"224",2013-04-05,882
"225",2013-04-06,472
"226",2013-04-07,338
"227",2013-04-08,898
"228",2013-04-09,874
"229",2013-04-10,668
"230",2013-04-11,848
"231",2013-04-12,852
"232",2013-04-13,792
"233",2013-04-14,582
"234",2013-04-15,792
"235",2013-04-16,1092
"236",2013-04-17,986
"237",2013-04-18,960
"238",2013-04-19,888
"239",2013-04-20,638
"240",2013-04-21,554
"241",2013-04-22,1292
"242",2013-04-23,1324
"243",2013-04-24,1094
"244",2013-04-25,982
"245",2013-04-26,896
"246",2013-04-27,494
"247",2013-04-28,464
"248",2013-04-29,800
"249",2013-04-30,1092
"250",2013-05-01,948
"251",2013-05-02,1950
"252",2013-05-03,1088
"253",2013-05-04,640
"254",2013-05-05,562
"255",2013-05-06,1024
"256",2013-05-07,930
"257",2013-05-08,936
"258",2013-05-09,886
"259",2013-05-10,860
"260",2013-05-11,658
"261",2013-05-12,484
"262",2013-05-13,1034
"263",2013-05-14,962
"264",2013-05-15,932
"265",2013-05-16,936
"266",2013-05-17,966
"267",2013-05-18,708
"268",2013-05-19,632
"269",2013-05-20,1462
"270",2013-05-21,1306
"271",2013-05-22,984
"272",2013-05-23,1316
"273",2013-05-24,1532
"274",2013-05-25,1072
"275",2013-05-26,678
"276",2013-05-27,1568
"277",2013-05-28,1420
"278",2013-05-29,1444
"279",2013-05-30,2548
"280",2013-05-31,1470
"281",2013-06-01,774
"282",2013-06-02,610
"283",2013-06-03,1376
"284",2013-06-04,1414
"285",2013-06-05,1416
"286",2013-06-06,1880
"287",2013-06-07,1548
"288",2013-06-08,856
"289",2013-06-09,790
"290",2013-06-10,1192
"291",2013-06-11,1508
"292",2013-06-12,1822
"293",2013-06-13,1280
"294",2013-06-14,1206
"295",2013-06-15,806
"296",2013-06-16,654
"297",2013-06-17,1328
"298",2013-06-18,1482
"299",2013-06-19,1416
"300",2013-06-20,1448
"301",2013-06-21,1830
"302",2013-06-22,1702
"303",2013-06-23,1070
"304",2013-06-24,1598
"305",2013-06-25,1954
"306",2013-06-26,1658
"307",2013-06-27,1616
"308",2013-06-28,2484
"309",2013-06-29,1532
"310",2013-06-30,1030
"311",2013-07-01,2084
"312",2013-07-02,2444
"313",2013-07-03,2046
"314",2013-07-04,1812
"315",2013-07-05,1880
"316",2013-07-06,1028
"317",2013-07-07,944
"318",2013-07-08,2110
"319",2013-07-09,1900
"320",2013-07-10,1974
"321",2013-07-11,1884
"322",2013-07-12,1292
"323",2013-07-13,900
"324",2013-07-14,908
"325",2013-07-15,2084
"326",2013-07-16,2294
"327",2013-07-17,2054
"328",2013-07-18,1692
"329",2013-07-19,1870
"330",2013-07-20,1208
"331",2013-07-21,2064
"332",2013-07-22,2982
"333",2013-07-23,2568
"334",2013-07-24,1994
"335",2013-07-25,1640
"336",2013-07-26,1892
"337",2013-07-27,988
"338",2013-07-28,994
"339",2013-07-29,2024
"340",2013-07-30,1930
"341",2013-07-31,2158
"342",2013-08-01,2492
"343",2013-08-02,1790
"344",2013-08-03,1300
"345",2013-08-04,932
"346",2013-08-05,3166
"347",2013-08-06,2900
"348",2013-08-07,2298
"349",2013-08-08,3036
"350",2013-08-09,1894
"351",2013-08-10,1362
"352",2013-08-11,1040
"353",2013-08-12,2304
"354",2013-08-13,2382
"355",2013-08-14,2376
"356",2013-08-15,4132
"357",2013-08-16,4290
"358",2013-08-17,1676
"359",2013-08-18,1280
"360",2013-08-19,3070
"361",2013-08-20,3532
"362",2013-08-21,3200
"363",2013-08-22,3006
"364",2013-08-23,2448
"365",2013-08-24,1414
"366",2013-08-25,1156
"367",2013-08-26,2598
"368",2013-08-27,2520
"369",2013-08-28,2406
"370",2013-08-29,4080
"371",2013-08-30,2890
"372",2013-08-31,1532
"373",2013-09-01,1310
"374",2013-09-02,2408
"375",2013-09-03,3136
"376",2013-09-04,3854
"377",2013-09-05,5960
"378",2013-09-06,2806
"379",2013-09-07,1592
"380",2013-09-08,1398
"381",2013-09-09,3510
"382",2013-09-10,2768
"383",2013-09-11,2720
"384",2013-09-12,2844
"385",2013-09-13,3426
"386",2013-09-14,1944
"387",2013-09-15,2190
"388",2013-09-16,3118
"389",2013-09-17,4452
"390",2013-09-18,3644
"391",2013-09-19,3342
"392",2013-09-20,3122
"393",2013-09-21,1750
"394",2013-09-22,1610
"395",2013-09-23,2786
"396",2013-09-24,3606
"397",2013-09-25,3592
"398",2013-09-26,3464
"399",2013-09-27,3420
"400",2013-09-28,2432
"401",2013-09-29,1760
"402",2013-09-30,2972
"403",2013-10-01,4706
"404",2013-10-02,3512
"405",2013-10-03,3118
"406",2013-10-04,2514
"407",2013-10-05,1566
"408",2013-10-06,1242
"409",2013-10-07,3412
"410",2013-10-08,4598
"411",2013-10-09,4192
"412",2013-10-10,4152
"413",2013-10-11,4550
"414",2013-10-12,2330
"415",2013-10-13,2698
"416",2013-10-14,3832
"417",2013-10-15,4286
"418",2013-10-16,4254
"419",2013-10-17,4432
"420",2013-10-18,3764
"421",2013-10-19,2034
"422",2013-10-20,1704
"423",2013-10-21,3758
"424",2013-10-22,4228
"425",2013-10-23,3988
"426",2013-10-24,3504
"427",2013-10-25,2922
"428",2013-10-26,1984
"429",2013-10-27,2082
"430",2013-10-28,3536
"431",2013-10-29,4030
"432",2013-10-30,3774
"433",2013-10-31,3408
"434",2013-11-01,3878
"435",2013-11-02,2474
"436",2013-11-03,1844
"437",2013-11-04,3754
"438",2013-11-05,4074
"439",2013-11-06,4098
"440",2013-11-07,4654
"441",2013-11-08,2898
"442",2013-11-09,2064
"443",2013-11-10,2244
"444",2013-11-11,4384
"445",2013-11-12,3262
"446",2013-11-13,4274
"447",2013-11-14,3982
"448",2013-11-15,2900
"449",2013-11-16,1928
"450",2013-11-17,1890
"451",2013-11-18,3730
"452",2013-11-19,3802
"453",2013-11-20,3580
"454",2013-11-21,4462
"455",2013-11-22,3112
"456",2013-11-23,1896
"457",2013-11-24,3066
"458",2013-11-25,3276
"459",2013-11-26,4768
"460",2013-11-27,4324
"461",2013-11-28,4426
"462",2013-11-29,3766
"463",2013-11-30,2710
"464",2013-12-01,2092
"465",2013-12-02,4042
"466",2013-12-03,6186
"467",2013-12-04,5078
"468",2013-12-05,4948
"469",2013-12-06,4558
"470",2013-12-07,2344
"471",2013-12-08,2414
"472",2013-12-09,4394
"473",2013-12-10,3850
"474",2013-12-11,4808
"475",2013-12-12,4772
"476",2013-12-13,3624
"477",2013-12-14,2166
"478",2013-12-15,2722
"479",2013-12-16,5252
"480",2013-12-17,4508
"481",2013-12-18,4708
"482",2013-12-19,4344
"483",2013-12-20,3474
"484",2013-12-21,1988
"485",2013-12-22,1862
"486",2013-12-23,3642
"487",2013-12-24,3198
"488",2013-12-25,3676
"489",2013-12-26,3376
"490",2013-12-27,3868
"491",2013-12-28,3084
"492",2013-12-29,2330
"493",2013-12-30,4928
"494",2013-12-31,4860
"495",2014-01-01,4516
"496",2014-01-02,4272
"497",2014-01-03,4244
"498",2014-01-04,2828
"499",2014-01-05,2382
"500",2014-01-06,5264
"501",2014-01-07,4222
"502",2014-01-08,4258
"503",2014-01-09,4118
"504",2014-01-10,4122
"505",2014-01-11,2664
"506",2014-01-12,2306
"507",2014-01-13,4774
"508",2014-01-14,4134
"509",2014-01-15,3892
"510",2014-01-16,2854
"511",2014-01-17,3004
"512",2014-01-18,2164
"513",2014-01-19,2216
"514",2014-01-20,5708
"515",2014-01-21,4982
"516",2014-01-22,4802
"517",2014-01-23,6070
"518",2014-01-24,4286
"519",2014-01-25,2346
"520",2014-01-26,2964
"521",2014-01-27,5466
"522",2014-01-28,5162
"523",2014-01-29,4636
"524",2014-01-30,4314
"525",2014-01-31,5430
"526",2014-02-01,3228
"527",2014-02-02,2522
"528",2014-02-03,4588
"529",2014-02-04,6426
"530",2014-02-05,6108
"531",2014-02-06,5206
"532",2014-02-07,4938
"533",2014-02-08,3828
"534",2014-02-09,4310
"535",2014-02-10,7196
"536",2014-02-11,5378
"537",2014-02-12,5190
"538",2014-02-13,5110
"539",2014-02-14,5668
"540",2014-02-15,3238
"541",2014-02-16,2814
"542",2014-02-17,5750
"543",2014-02-18,5582
"544",2014-02-19,5512
"545",2014-02-20,4646
"546",2014-02-21,4108
"547",2014-02-22,2780
"548",2014-02-23,2742
"549",2014-02-24,5426
"550",2014-02-25,5252
"551",2014-02-26,6530
"552",2014-02-27,5552
"553",2014-02-28,4908
"554",2014-03-01,2942
"555",2014-03-02,2608
"556",2014-03-03,5472
"557",2014-03-04,5672
"558",2014-03-05,6334
"559",2014-03-06,5578
"560",2014-03-07,5110
"561",2014-03-08,3024
"562",2014-03-09,2928
"563",2014-03-10,5836
"564",2014-03-11,5466
"565",2014-03-12,6336
"566",2014-03-13,5738
"567",2014-03-14,5122
"568",2014-03-15,2922
"569",2014-03-16,2856
"570",2014-03-17,5032
"571",2014-03-18,5122
"572",2014-03-19,4620
"573",2014-03-20,2998
"574",2014-03-21,3576
"575",2014-03-22,3096
"576",2014-03-23,2866
"577",2014-03-24,5138
"578",2014-03-25,5668
"579",2014-03-26,4756
"580",2014-03-27,2882
"581",2014-03-28,4986
"582",2014-03-29,3486
"583",2014-03-30,3142
"584",2014-03-31,5580
"585",2014-04-01,6250
"586",2014-04-02,5812
"587",2014-04-03,5306
"588",2014-04-04,5388
"589",2014-04-05,3326
"590",2014-04-06,3280
"591",2014-04-07,7028
"592",2014-04-08,5546
"593",2014-04-09,6058
"594",2014-04-10,10384
"595",2014-04-11,7874
"596",2014-04-12,4636
"597",2014-04-13,3568
"598",2014-04-14,6964
"599",2014-04-15,6330
"600",2014-04-16,6202
"601",2014-04-17,6182
"602",2014-04-18,5928
"603",2014-04-19,3798
"604",2014-04-20,3374
"605",2014-04-21,5360
"606",2014-04-22,6310
"607",2014-04-23,6738
"608",2014-04-24,6820
"609",2014-04-25,5852
"610",2014-04-26,4722
"611",2014-04-27,4620
"612",2014-04-28,6370
"613",2014-04-29,6650
"614",2014-04-30,6812
"615",2014-05-01,6430
"616",2014-05-02,5728
"617",2014-05-03,4486
"618",2014-05-04,3504
"619",2014-05-05,6042
"620",2014-05-06,5838
"621",2014-05-07,5896
"622",2014-05-08,6388
"623",2014-05-09,6944
"624",2014-05-10,3966
"625",2014-05-11,3154
"626",2014-05-12,6826
"627",2014-05-13,6686
"628",2014-05-14,6390
"629",2014-05-15,6088
"630",2014-05-16,6768
"631",2014-05-17,4370
"632",2014-05-18,3622
"633",2014-05-19,6822
"634",2014-05-20,8102
"635",2014-05-21,9670
"636",2014-05-22,8936
"637",2014-05-23,7132
"638",2014-05-24,5668
"639",2014-05-25,5254
"640",2014-05-26,8146
"641",2014-05-27,8006
"642",2014-05-28,10410
"643",2014-05-29,8202
"644",2014-05-30,6720
"645",2014-05-31,4592
"646",2014-06-01,5328
"647",2014-06-02,8380
"648",2014-06-03,9162
"649",2014-06-04,8926
"650",2014-06-05,11886
"651",2014-06-06,9730
"652",2014-06-07,5856
"653",2014-06-08,5604
"654",2014-06-09,8922
"655",2014-06-10,8792
"656",2014-06-11,8962
"657",2014-06-12,7540
"658",2014-06-13,6950
"659",2014-06-14,4190
"660",2014-06-15,4432
"661",2014-06-16,8570
"662",2014-06-17,8086
"663",2014-06-18,8300
"664",2014-06-19,6802
"665",2014-06-20,9118
"666",2014-06-21,5282
"667",2014-06-22,5540
"668",2014-06-23,10066
"669",2014-06-24,8932
"670",2014-06-25,8488
"671",2014-06-26,9486
"672",2014-06-27,6776
"673",2014-06-28,5238
"674",2014-06-29,4710
"675",2014-06-30,7548
"676",2014-07-01,7836
"677",2014-07-02,7826
"678",2014-07-03,7774
"679",2014-07-04,9442
"680",2014-07-05,6250
"681",2014-07-06,6732
"682",2014-07-07,9600
"683",2014-07-08,8214
"684",2014-07-09,9732
"685",2014-07-10,9922
"686",2014-07-11,9148
"687",2014-07-12,5858
"688",2014-07-13,4922
"689",2014-07-14,8530
"690",2014-07-15,8302
"691",2014-07-16,7956
"692",2014-07-17,7734
"693",2014-07-18,8466
"694",2014-07-19,7934
"695",2014-07-20,8184
"696",2014-07-21,11946
"697",2014-07-22,11012
"698",2014-07-23,10130
"699",2014-07-24,8156
"700",2014-07-25,7192
"701",2014-07-26,6562
"702",2014-07-27,6094
"703",2014-07-28,8546
"704",2014-07-29,8218
"705",2014-07-30,8498
"706",2014-07-31,8740
"707",2014-08-01,9186
"708",2014-08-02,6278
"709",2014-08-03,5340
"710",2014-08-04,8872
"711",2014-08-05,7724
"712",2014-08-06,9170
"713",2014-08-07,8036
"714",2014-08-08,8406
"715",2014-08-09,5462
"716",2014-08-10,5822
"717",2014-08-11,12928
"718",2014-08-12,14762
"719",2014-08-13,14878
"720",2014-08-14,9672
"721",2014-08-15,8432
"722",2014-08-16,7624
"723",2014-08-17,6750
"724",2014-08-18,9912
"725",2014-08-19,13104
"726",2014-08-20,12022
"727",2014-08-21,10952
"728",2014-08-22,9944
"729",2014-08-23,7282
"730",2014-08-24,7360
"731",2014-08-25,10764
"732",2014-08-26,12510
"733",2014-08-27,12496
"734",2014-08-28,9102
"735",2014-08-29,9930
"736",2014-08-30,8462
"737",2014-08-31,6964
"738",2014-09-01,10464
"739",2014-09-02,13764
"740",2014-09-03,12216
"741",2014-09-04,10704
"742",2014-09-05,12780
"743",2014-09-06,8156
"744",2014-09-07,6876
"745",2014-09-08,10224
"746",2014-09-09,13104
"747",2014-09-10,11592
"748",2014-09-11,10180
"749",2014-09-12,9010
"750",2014-09-13,6080
"751",2014-09-14,5716
"752",2014-09-15,10688
"753",2014-09-16,16080
"754",2014-09-17,13676
"755",2014-09-18,11000
"756",2014-09-19,13034
"757",2014-09-20,8186
"758",2014-09-21,9102
"759",2014-09-22,14116
"760",2014-09-23,13304
"761",2014-09-24,16856
"762",2014-09-25,14152
